@id	name	@center	@lat	@lon	addr:city	addr:street	addr:housenumber	addr:postcode	opening_hours
335934464	Nikolai-Apotheke		54.7825356	9.4358083	Flensburg	Südermarkt	12	24937	Mo-Fr 08:00-19:00; Sa 08:00-18:00; Su off
338862236	Schulhaus-Apotheke		54.5420465	9.8154175	Rieseby	Dorfstraße	29	24354	"Mo-Fr 08:00-12:00,14:30-18:30; Sa 08:30-12:30; Su,PH off"
340263022	Uhland-Apotheke		53.8546973	10.6883240					"Mo-Fr 08:00-13:30,15:00-18:00; Sa 09:00-12:30"
340354214	Apotheke zur Erle		53.7510688	9.9189668	Ellerau	Berliner Damm	15	25479	Mo-Fr 08:00-18:30; Sa 08:30-13:00
343156549	Humbold Apotheke		53.9154403	10.8080060					"Mo-Fr 08:30-13:00,15:00-18:30;Sa 08:30-13:00"
345100938	Schwan-Apotheke		53.9227387	9.3756812	Wilster	Kohlmarkt	51	25554	"Mo-Fr 08:30-12:00,13:30-18:30"
345100940	Westwind Apotheke		53.9249373	9.3825859	Wilster	Steindamm	11	25554	"Mo-Fr 08:00-12:45,13:35-18:00; Sa 08:30-13:00"
346155920	Apotheke Ratekau		53.9476928	10.7346695	Ratekau	Bäderstraße	24	23626	Mo-Fr 08:30-18:00; Sa 08:30-12:30; PH off
347507913	Apotheke im Mediohaus		53.8363669	9.9631251	Kaltenkirchen	Brauerstraße	1	24568	Mo-Fr 07:00-20:00; Sa 07:00-17:00
347508111	Hirsch-Apotheke		53.8384505	9.9622009	Kaltenkirchen	Am Markt	3	24568	
349218673	Fischers Apotheke		54.4608440	9.2406290	Ostenfeld (Husum)	Hauptstraße	49	25872	"Mo,Th 08:00-13:00,14:30-18:30; Tu,Fr 08:00-13:00,14:30-18:00; We 08:00-13:00; Sa 08:00-12:00"
349226669	Kreuz-Apotheke		54.5149434	9.3208089	Treia	Treenestraße	36	24896	Mo-Fr 08:00-18:30; Sa 08:00-12:00
350286906	Apotheke Sereetz		53.9199520	10.7338418	Ratekau	Schwartauer Straße	1	23611	"Mo-We 08:30-12:30,14:30-18:30; Th-Fr 08:30-18:30; Sa 08:30-12:30; PH off"
353103889	Apotheke Ascheberg		54.1502115	10.3439761	Ascheberg	Langenrade	2b	24326	
353335858	Delphin-Apotheke		54.1309459	8.8605712	Büsum	Alleestraße	10	25761	Mo-Fr 08:00-18:30; Sa 08:00-18:00
355609728	Bären-Apotheke		54.7048651	9.2474681	Großenwiehe	Hauptstraße	14	24969	"Mo,Tu,Th,Fr 08:00-12:30,14:30-18:30; We 08:00-12:30; Sa 08:00-12:00; Su,PH off"
356761808	Freesen Apotheke		54.0708067	9.9395229	Neumünster	Wasbeker Straße	330	24537	Mo-Sa 08:00-20:00; PH off
358005524	Löwen-Apotheke		54.4713340	9.8370988	Eckernförde	Kieler Straße	23	24340	Mo-Fr 08:15-18:15; Sa 08:15-13:00; Su off
358874458	Olympia Apotheke Schilksee		54.4172539	10.1711648	Kiel	Langenfelde	121	24159	"Mo-Fr 08:00-19:00; Sa 08:00-18:00; Su closed; PH unknown; 2020 Mar 22 08:00-24:00 open ""Notdienst""; 2020 Mar 23 00:00-08:00 open ""Notdienst""; 2020 Apr 24 08:00-24:00 open ""Notdienst""; 2020 Apr 25 00:00-08:00 open ""Notdienst"""
359459857	Löwenapotheke GZL		54.2348752	10.2812401	Preetz	Markt	9-12	24211	"Mo-Tu,Th 08:00-19:00; We,Fr 08:00-18:30; Sa 08:00-13:30"
359459859	Schwentine-Apotheke		54.2355140	10.2812195	Preetz	Markt	4	24211	"Mo,Fr 08:00-18:30; Tu,Th 08:00-19:00; We 08:00-18:00; Sa 08:00-13:00"
360395577	Apotheke Jevenstedt		54.2334903	9.6664099	Jevenstedt	Dorfstraße	14	24808	"Mo,Tu,Th,Fr 08:00-12:00,14:00-18:30; We,Sa 08:00-12:00; Su off"
361055219	Trave-Apotheke		53.8879966	10.7978847					"Mo 08:00-13:00,15:00-18:30; Tu 08:00-13:00,15:00-18:00; We 08:00-13:00; Th 08:00-13:00,15:00-18:30; Fr 08:00-13:00,15:00-18:00; Sa 08:30-12:30"
361156985	Apotheke Pansdorf		53.9825905	10.7124596	Ratekau	Eutiner Straße	25	23689	"Mo-Fr 08:30-13:00,14:00-18:30; Sa 08:30-13:00"
365997839	Erlen-Apotheke		53.5690953	10.1645539	Barsbüttel	Barsbütteler Hof	2a	22885	Mo-Fr 08:00-18:30; Sa 08:00-13:00
368010737	Forellen Apotheke		54.2869236	10.0854804	Molfsee	Hamburger Landstraße	26	24113	"Mo-Fr 08:00-18:30; We 08:00-13:00,15:00-18:00, Sa 08:30-13:00"
372972247	Herz Apotheke		53.6015350	9.8376529	Schenefeld	Industriestraße	1b	22869	Mo-Fr 08:30-20:00; Sa 09:00-20:00; PH off
374243676	DocMare		54.5161724	9.5612836	Schleswig	Stadtweg	47	24837	Mo-Fr 08:00-18:30; Sa 08:30-16:00
374243716	ABC-Apotheke		54.5164851	9.5622994	Schleswig	Stadtweg	48	24837	"Mo-Fr 08:00-18:30; Sa 09:00-14:00; PH,Su off"
374243725	Altstadt-Apotheke		54.5165310	9.5641743	Schleswig	Stadtweg	27	24837	"Mo-Fr 08:00-18:00; Sa 09:00-12:30; PH,Su off"
380427062	Hof-Apotheke		54.1581693	10.4160537	Plön	Lange Straße	1	24306	"Mo, Tu, Th 08:00-18:30; We, Fr 08:00-18:00; Sa 09:00-13:00; PH off"
380427765	Schloss-Apotheke		54.1580377	10.4161876	Plön	Markt	15	24306	"Mo, Tu, Th 08:00-18:30; We, Fr 08:00-18:00; Sa 09:00-13:00; PH off"
380800648	Klindwort Apotheke		53.9174338	10.6981866	Bad Schwartau	Lübecker Straße	18	23611	"Mo,Tu,Th,Fr 08:00-18:30; We 08:00-18:00; Sa 08:00-13:00"
386157368	Fleethörn-Apotheke		54.3258719	10.1278674					Mo-Fr 08:00-18:00; Sa 08:00-13:00
387482467	Ostsee-Apotheke		54.0525864	10.7525420					"Mo-Fr 08:30-12:30,15:00-18:30; We,Sa 08:30-12:30; PH off"
387623649	Apotheke Hohn		54.3015528	9.5110583	Hohn	Hauptstraße	14	24806	"Mo,Fr 07:30-13:00,14:30-18:00; Tu,Th 07:30-13:00,14:30-19:00; We 07:30-13:00; Sa 09:00-13:00"
387802719	Süd-Apotheke		54.2837756	10.1315874	Kiel	Grot Steenbusch	30-40	24145	Mo-Fr 08:00-20:00; Sa 08:00-18:00; Su off
388086894	Elbmarschen Apotheke		53.8046315	9.6249234	Horst	Horster Viereck	1	25358	Mo-Fr 08:00-19:00; Sa 08:00-14:00
